المواد	تعبئة
ماراكوجا اسود	لتر
ماراكوجا اسود	100مل
ماراكوجا بلص	لتر
ماراكوجا بلص	100مل
ثيرابي	100مل
ديفاي بلكس	لتر
ديفاي بلو	لتر
ديفاي بلكس	100مل
ذهبي SP	لتر
فضي SP	لتر
ديفاي بلو	100مل
شامبو بلازما	500مل
بلسم بلازما	500مل
سيرم بلازما	100مل
ماسك بلازما	500مل
ماسك بلازما	100مل
شامبو ارجان ريبير	500مل
بلسم ارجان ريبير	500مل
شامبو ارجان هايدرو	500مل
بلسم ارجان هايدرو	500مل
مور ش+ب	250
شامبو مور ريبير	لتر
بلسم مور ريبير	لتر
شامبو مور صابليمز	لتر
بلسم مور صابليمز	لتر
شامبو ريستركشر	لتر
فيلر	لتر
فيلر	100مل
ليف ان	125مل
سيرم مور	125مل
كت تساقط نهدي	كت
كت تساقط ازرق	كت
مكبس اسود	حبة
مكبس ذهبي	حبة
Gray Natural (120)	حبة
Gray Talent (222)	حبة
Gray Venus (111)	حبة
Sheraz Gray Green (200)	حبة
Sheraz Gray Honey (204)	حبة
Sheraz Yallow (201)	حبة
Sheraz Gray Blue (203)	حبة
Meral Gray (99)	حبة
Meral Light Gray (100)	حبة
Meral Blue (103)	حبة
Meral Green (102)	حبة
Meral Honey (104)	حبة
Meral Talent (333)	حبة
Meral Yallow (101)	حبة
Nutella (123)	حبة
Black Coffee (55)	حبة
Green Natural (121)	حبة
Honey Natural (122)	حبة
Meral Green (102) power	حبة
Meral Gray (99) power	حبة
سشوار ماك	حبة
سشوار تيربو ستار	حبة
ش بلازما	5لتر
ب بلازما	5لتر
ش بلازما تفتيح	5لتر
ش بلازما تفتيح	500مل
محلول عدسات	حبة
ش بلازما سشيت	15مل
ب بلازما سشيت	15مل
ماسك بلازما سشيت	15مل
ثيرابي	25مل
بلكس	25مل
ديفاي بلو	25مل
